epoch,accuracy,auc_roc,epoch_time_s,f1_macro,f1_weighted,sensitivity,specificity,train_acc,train_loss,val_loss
1,0.7179,0.8447,229.3,0.2197,0.6571,0.2277,0.9083,0.684625,0.948012,0.8033
2,0.7539,0.9066,278.0,0.3602,0.7236,0.3325,0.925,0.72175,0.765218,0.6966
3,0.7683,0.9225,281.9,0.4275,0.7444,0.3875,0.9301,0.749125,0.691114,0.6462
4,0.7738,0.9276,292.0,0.4441,0.7503,0.4098,0.9315,0.764125,0.645218,0.6271
5,0.7783,0.9301,285.0,0.4669,0.7585,0.4333,0.9345,0.77125,0.624065,0.6174
